scope,chapterId,sequence,activityId,origin,sourceIds,type,conceptKey,prompt,answer,options,notes,dataHash
"built-lesson","ch12","4","ch12-practice-1","source/adapted","ch12-a-q1-2","quiz","guided-box-make10","? + 9 = 10","{""finalAnswer"":1,""blanks"":[1]}","","","1b8d9a31"
"built-lesson","ch12","5","ch12-practice-2","source/adapted","ch12-a-q1-3","quiz","guided-box-make10","10 + 8 = ?","{""finalAnswer"":18,""blanks"":[18]}","","","8f705ec0"
"built-lesson","ch12","6","ch12-practice-3","source/adapted","ch12-a-q1-4","quiz","guided-box-make10","9 + 7 = ?","{""finalAnswer"":16,""blanks"":[16]}","","","01d38985"
"built-lesson","ch12","7","ch12-practice-4","generated/fallback","","quiz","guided-box-make10","5 + 6","{""finalAnswer"":11,""blanks"":[4,4,1,4,1,11]}","","","d2d66707"
"built-lesson","ch12","8","ch12-practice-5","generated/fallback","","quiz","guided-box-make10","5 + 7","{""finalAnswer"":12,""blanks"":[3,3,2,3,2,12]}","","","3bbfd7bb"
"built-lesson","ch13","1","ch13-learn-1","source/adapted","ch13-s8-q1","interactive","subtraction-use-10","14 - 8","{""finalAnswer"":6,""blanks"":[4,4,4,4,6]}","","","831c66df"
"built-lesson","ch13","2","ch13-learn-2","source/adapted","ch13-s8-q3-2","quiz","subtraction-use-10","18 - 9 = ?","{""finalAnswer"":9,""blanks"":[9]}","","","ce5be2a8"
"built-lesson","ch13","3","ch13-learn-3","source/adapted","ch13-s8-q3-3","quiz","subtraction-use-10","14 - 7 = ?","{""finalAnswer"":7,""blanks"":[7]}","","","dad50441"
"built-lesson","ch13","4","ch13-practice-1","source/adapted","ch13-s8-q3-4","quiz","guided-box-sub10","12 - 4 = ?","{""finalAnswer"":8,""blanks"":[8]}","","","fed7e46c"
"built-lesson","ch13","5","ch13-practice-2","source/adapted","ch13-a-q1","quiz","guided-box-sub10","15 - 8","{""finalAnswer"":7,""blanks"":[7]}","","","8318419c"
"built-lesson","ch13","6","ch13-practice-3","generated/fallback","","quiz","guided-box-sub10","11 - 4","{""finalAnswer"":7,""blanks"":[1,3,1,3,7]}","","","e9ed31d3"
"built-lesson","ch13","7","ch13-practice-4","generated/fallback","","quiz","guided-box-sub10","11 - 5","{""finalAnswer"":6,""blanks"":[10,1,5,5,1,6]}","","","c923c2f7"
"built-lesson","ch13","8","ch13-practice-5","generated/fallback","","quiz","guided-box-sub10","11 - 5","{""finalAnswer"":6,""blanks"":[1,4,1,4,6]}","","","7ff3a4c5"
"built-lesson","ch14","1","ch14-s9-q1","source/adapted","ch14-s9-q1","interactive","place-value-group","Group/count 40 blocks","4 tens, 0 ones","","context=block","cf45e2ff"
"built-lesson","ch14","2","ch14-s9-q1-2","source/adapted","ch14-s9-q1-2","interactive","place-value-group","Group/count 60 blocks","6 tens, 0 ones","","context=block","9bf7fbe3"
"built-lesson","ch14","3","ch14-hundreds-1","generated/fallback","","interactive","place-value-hundreds-chart","fill-missing on hundreds chart","[9,12,72,95]","","","9fec3320"
"built-lesson","ch14","4","ch14-hundreds-2","generated/fallback","","interactive","place-value-hundreds-chart","jump-by-10 on hundreds chart","[14,34,84]","","","bfe1eccb"
"built-lesson","ch14","5","ch14-hundreds-3","generated/fallback","","interactive","place-value-hundreds-chart","I have 3 tens and 4 ones. Who am I?","34","","","1e581046"
"built-lesson","ch14","6","ch14-numberline-1","generated/fallback","","interactive","place-value-number-line","Fill number line 0-50, jump 10","[10,30]","","","0f3c9833"
"built-lesson","ch14","7","ch14-numberline-2","generated/fallback","","interactive","place-value-number-line","Fill number line 0-100, jump 5","[45,50,65]","","","2cfd9ae3"
"built-lesson","ch14","8","ch14-numberline-3","generated/fallback","","interactive","place-value-number-line","Fill number line 0-100, jump 10","[20,70,80]","","","db200984"
"built-lesson","ch15","1","ch15-compose-1","generated/fallback","","interactive","compose-shapes","a large triangle","correct","[{""id"":""wrong-2"",""pieces"":[""rectangle"",""triangle""],""label"":""rectangle + triangle""},{""id"":""correct"",""pieces"":[""triangle"",""triangle""],""label"":""triangle + triangle""},{""id"":""wrong-1"",""pieces"":[""square"",""triangle""],""label"":""square + triangle""}]","","d16d1586"
"built-lesson","ch15","2","ch15-compose-2","generated/fallback","","interactive","compose-shapes","a rectangle","correct","[{""id"":""wrong-1"",""pieces"":[""square"",""square"",""square""],""label"":""square + square + square""},{""id"":""correct"",""pieces"":[""triangle"",""triangle"",""square""],""label"":""triangle + triangle + square""},{""id"":""wrong-2"",""pieces"":[""triangle"",""square""],""label"":""triangle + square""}]","","9f04aeb8"
"built-lesson","ch15","3","ch15-compose-3","generated/fallback","","interactive","compose-shapes","a large triangle","correct","[{""id"":""wrong-1"",""pieces"":[""square"",""triangle"",""triangle""],""label"":""square + triangle + triangle""},{""id"":""correct"",""pieces"":[""triangle"",""triangle"",""triangle"",""triangle""],""label"":""triangle + triangle + triangle + triangle""},{""id"":""wrong-2"",""pieces"":[""rectangle"",""triangle""],""label"":""rectangle + triangle""}]","","673502f4"
"built-lesson","ch15","4","ch15-compose-4","generated/fallback","","interactive","compose-shapes","a square","correct","[{""id"":""correct"",""pieces"":[""triangle"",""triangle"",""triangle"",""triangle""],""label"":""triangle + triangle + triangle + triangle""},{""id"":""wrong-1"",""pieces"":[""triangle"",""triangle""],""label"":""triangle + triangle""},{""id"":""wrong-2"",""pieces"":[""square"",""square""],""label"":""square + square""}]","","7291d78c"
"built-lesson","ch15","5","ch15-identify-1","generated/fallback","","quiz","shape-3d-identify","Which option is prism?","prism","[""cuboid"",""cube"",""ball"",""prism""]","","327073f8"
"built-lesson","ch15","6","ch15-identify-2","generated/fallback","","quiz","shape-3d-identify","Which option is cylinder?","cylinder","[""cylinder"",""ball"",""cube"",""cuboid""]","","093dba87"
"built-lesson","ch15","7","ch15-footprint-1","generated/fallback","","interactive","shape-3d-to-2d","What 2D shape comes from cuboid?","rectangle","[""rectangle"",""square"",""triangle"",""circle""]","","ab756862"
"built-lesson","ch15","8","ch15-footprint-2","generated/fallback","","interactive","shape-3d-to-2d","What 2D shape comes from prism?","triangle","[""triangle"",""circle"",""rectangle"",""square""]","","2e24b6ab"
"built-lesson","ch16","1","s20_p2","source/adapted","s20_p2","interactive","tell-time","What time is it?","10:30","[""10:30"",""10:00""]","context=clock","2ed5140c"
"built-lesson","ch16","2","s20_p2-2","source/adapted","s20_p2-2","interactive","tell-time","What time is it?","7:00","[""7:00"",""7:30""]","context=clock","2b74d576"
"built-lesson","ch16","3","ch16-read-3","generated/fallback","","interactive","tell-time","What time is it?","half past 5","[""half past 4"",""half past 5"",""half past 6""]","","15138f6e"
"built-lesson","ch16","4","ch16-read-4","generated/fallback","","interactive","tell-time","What time is it?","half past 1","[""half past 12"",""half past 1"",""6 o'clock""]","","eac6fecb"
"built-lesson","ch16","5","ch16-clock-1","generated/fallback","","interactive","tell-time","What time is it?","9 o'clock","[""half past 10"",""8 o'clock"",""9 o'clock""]","","82541ca2"
"built-lesson","ch16","6","ch16-clock-2","generated/fallback","","interactive","tell-time","What time is it?","10 o'clock","[""10 o'clock"",""12 o'clock"",""9 o'clock""]","","fd7beefe"
"built-lesson","ch16","7","ch16-clock-3","generated/fallback","","interactive","tell-time","Set 12 half-past","12 half-past","","","c91baab0"
"built-lesson","ch16","8","ch16-clock-4","generated/fallback","","interactive","tell-time","Set 7 o-clock","7 o-clock","","","77564684"
"built-lesson","ch17","1","ch17-s22-q5","source/adapted","ch17-s22-q5","interactive","add-sub-mixed","There were 12 cakes. 4 were eaten. How many are left?","8","","context=cakes","684f7a87"
"built-lesson","ch17","2","ch17-word-2","generated/fallback","","interactive","add-sub-mixed","Omar has 6 birds. Omar gave 5 to a friend. How many birds does Omar have now?","1","","","b46bd175"
"built-lesson","ch17","3","ch17-word-3","generated/fallback","","interactive","add-sub-mixed","Nour has 20 apples. Nour gave 11 to a friend. How many apples does Nour have now?","9","","","8dd65d61"
"built-lesson","ch17","4","ch17-word-4","generated/fallback","","interactive","add-sub-mixed","Omar has 12 stars. Omar gave 2 to a friend. How many stars does Omar have now?","10","","","c650e9f4"
"built-lesson","ch17","5","ch17-s21-q1","source/adapted","ch17-s21-q1","quiz","guided-box-make10","20 and 3 make __","{""finalAnswer"":23,""blanks"":[23]}","","context=stick","032be230"
"built-lesson","ch17","6","ch17-s21-q4","source/adapted","ch17-s21-q4","quiz","guided-box-sub10","If you are the 4th person in a line, how many people are in front of you?","{""finalAnswer"":3,""blanks"":[3]}","","","b708cca1"
"built-lesson","ch17","7","ass17_p1","source/adapted","ass17_p1","quiz","number-comparison","45 ? 27; 8 tens ? 11 ones; 79 ? 82","45 > 27; 8 tens > 11 ones; 79 < 82",">; <; =","","a48d10ad"
"built-lesson","ch17","8","ch17-word-extra-1","generated/fallback","","interactive","add-sub-mixed","Hani has 8 birds. Hani gave 4 to a friend. How many birds does Hani have now?","4","","","bc2be30b"
"raw-source","ch10","1","ch10-s1-q1","source-json","ch10-s1-q1","multiple-choice-visual","","Which shape looks like [Target]? | target=prism","c","[{""id"":""a"",""imageType"":""sphere"",""context"":""tennis-ball""},{""id"":""b"",""imageType"":""cylinder"",""context"":""blue-glass""},{""id"":""c"",""imageType"":""prism"",""context"":""cheese-wedge""},{""id"":""d"",""imageType"":""cube"",""context"":""rubiks-cube""}]","","428c408e"
"raw-source","ch10","1","ch10-s1-q1-2","source-json","ch10-s1-q1","multiple-choice-visual","","Which shape looks like [Target]? | target=sphere","a","[{""id"":""a"",""imageType"":""sphere"",""context"":""basket-ball""},{""id"":""b"",""imageType"":""cylinder"",""context"":""red-can""},{""id"":""c"",""imageType"":""cuboid"",""context"":""juice-box""},{""id"":""d"",""imageType"":""cylinder"",""context"":""blue-drum""}]","expanded from ch10-s1-q1","831b2272"
"raw-source","ch10","2","ch10-s1-q2","source-json","ch10-s1-q2","matching","","Join each shape to its name.","[""1"",""Cuboid shape""]","[""Prism shape"",""Cuboid shape"",""Cube shape"",""Ball shape"",""Cylinder shape""]","","9fea5b95"
"raw-source","ch10","2","ch10-s1-q2-2","source-json","ch10-s1-q2","matching","","Join each shape to its name.","[""2"",""Prism shape""]","[""Prism shape"",""Cuboid shape"",""Cube shape"",""Ball shape"",""Cylinder shape""]","expanded from ch10-s1-q2","2f579164"
"raw-source","ch10","2","ch10-s1-q2-3","source-json","ch10-s1-q2","matching","","Join each shape to its name.","[""3"",""Ball shape""]","[""Prism shape"",""Cuboid shape"",""Cube shape"",""Ball shape"",""Cylinder shape""]","expanded from ch10-s1-q2","b4b255a2"
"raw-source","ch10","2","ch10-s1-q2-4","source-json","ch10-s1-q2","matching","","Join each shape to its name.","[""4"",""Cylinder shape""]","[""Prism shape"",""Cuboid shape"",""Cube shape"",""Ball shape"",""Cylinder shape""]","expanded from ch10-s1-q2","268a0dcb"
"raw-source","ch10","2","ch10-s1-q2-5","source-json","ch10-s1-q2","matching","","Join each shape to its name.","[""5"",""Cube shape""]","[""Prism shape"",""Cuboid shape"",""Cube shape"",""Ball shape"",""Cylinder shape""]","expanded from ch10-s1-q2","5b81a9a2"
"raw-source","ch10","3","ch10-s2-q1","source-json","ch10-s2-q1","visual-selection","","Trace the following shapes, then circle the shapes you draw. | source=cylinder","circle","[""circle"",""triangle"",""rectangle"",""square""]","","d58bbb79"
"raw-source","ch10","3","ch10-s2-q1-2","source-json","ch10-s2-q1","visual-selection","","Trace the following shapes, then circle the shapes you draw. | source=prism","triangle","[""triangle"",""square"",""circle"",""rectangle""]","expanded from ch10-s2-q1","41dc7665"
"raw-source","ch10","3","ch10-s2-q1-3","source-json","ch10-s2-q1","visual-selection","","Trace the following shapes, then circle the shapes you draw. | source=cuboid","rectangle","[""triangle"",""circle"",""square"",""rectangle""]","expanded from ch10-s2-q1","4554fa94"
"raw-source","ch10","3","ch10-s2-q1-4","source-json","ch10-s2-q1","visual-selection","","Trace the following shapes, then circle the shapes you draw. | source=cube","square","[""circle"",""triangle"",""square"",""rectangle""]","expanded from ch10-s2-q1","81d3bc12"
"raw-source","ch10","4","ch10-a-q5","source-json","ch10-a-q5","counting-composite","","How many?","{""cube"":6,""cuboid"":2,""cylinder"":1,""ball"":0}","","","7ff6e7fe"
"raw-source","ch11","1","ch11-s3-q1","source-json","ch11-s3-q1","ordering","capacity","Arrange the containers in order from most to least amount.","[""A"",""B"",""C""]","","","525e2b32"
"raw-source","ch11","1","ch11-s3-q1-2","source-json","ch11-s3-q1","ordering","capacity","Arrange the containers in order from most to least amount.","[""A"",""B"",""C""]","","expanded from ch11-s3-q1","230d6ed9"
"raw-source","ch11","1","ch11-s3-q1-3","source-json","ch11-s3-q1","ordering","capacity","Arrange the containers in order from most to least amount.","[""A"",""B"",""C""]","","expanded from ch11-s3-q1","cd4559d6"
"raw-source","ch11","2","ch11-s4-q1","source-json","ch11-s4-q1","unit-counting","","Notice the amount of water in each container. Write how many cups. | target=bucket","5","","","c2a3c5ea"
"raw-source","ch11","2","ch11-s4-q1-2","source-json","ch11-s4-q1","unit-counting","","Notice the amount of water in each container. Write how many cups. | target=juice-box","7","","expanded from ch11-s4-q1","0f098b01"
"raw-source","ch11","2","ch11-s4-q1-3","source-json","ch11-s4-q1","unit-counting","","Notice the amount of water in each container. Write how many cups. | target=vase","3","","expanded from ch11-s4-q1","be59e9ef"
"raw-source","ch11","3","ch11-s5-q1","source-json","ch11-s5-q1","area-comparison-visual","area","Arrange from the smallest area to the largest area.","[""D"",""A"",""B"",""C""]","","","4da8afcb"
"raw-source","ch11","3","ch11-s5-q1-2","source-json","ch11-s5-q1","area-comparison-visual","area","Arrange from the smallest area to the largest area.","[""D"",""A"",""B"",""C""]","","expanded from ch11-s5-q1","9dd6393a"
"raw-source","ch11","3","ch11-s5-q1-3","source-json","ch11-s5-q1","area-comparison-visual","area","Arrange from the smallest area to the largest area.","[""D"",""A"",""B"",""C""]","","expanded from ch11-s5-q1","6e232d5b"
"raw-source","ch11","3","ch11-s5-q1-4","source-json","ch11-s5-q1","area-comparison-visual","area","Arrange from the smallest area to the largest area.","[""D"",""A"",""B"",""C""]","","expanded from ch11-s5-q1","b82dfe7c"
"raw-source","ch11","4","ch11-s6-q1","source-json","ch11-s6-q1","area-grid-counting","area","Count the squares of the colored area, and write how many units.","","","","ac8a1947"
"raw-source","ch11","4","ch11-s6-q1-2","source-json","ch11-s6-q1","area-grid-counting","area","Count the squares of the colored area, and write how many units.","","","expanded from ch11-s6-q1","fde68dd4"
"raw-source","ch11","4","ch11-s6-q1-3","source-json","ch11-s6-q1","area-grid-counting","area","Count the squares of the colored area, and write how many units.","","","expanded from ch11-s6-q1","31377577"
"raw-source","ch11","4","ch11-s6-q1-4","source-json","ch11-s6-q1","area-grid-counting","area","Count the squares of the colored area, and write how many units.","","","expanded from ch11-s6-q1","89819d0e"
"raw-source","ch11","5","ch11-s6-q3","source-json","ch11-s6-q3","word-problem","arithmetic","Youssef and Omar colored the shape, and this is what it looked like on the right.","Omar","[""Youssef"",""Omar""]","","caa016c9"
"raw-source","ch12","1","ch12-s7-q1","source-json","ch12-s7-q1","split-tree-addition","arithmetic","Let's do addition. Make a 10.","12","","","f91c0011"
"raw-source","ch12","2","ch12-s7-q1-2","source-json","ch12-s7-q1-2","split-tree-addition","arithmetic","Make a 10 to add.","13","","","734e25d7"
"raw-source","ch12","3","ch12-s7-q3","source-json","ch12-s7-q3","word-problem","arithmetic","There are 8 dogs. 7 more dogs come. How many dogs are there in total?","15","","","f54dbca6"
"raw-source","ch12","4","ch12-a-q1","source-json","ch12-a-q1","fill-in-the-blanks","arithmetic","Complete the following. | 7 + __ = 10","3","","","5dc50aa7"
"raw-source","ch12","4","ch12-a-q1-2","source-json","ch12-a-q1","fill-in-the-blanks","arithmetic","Complete the following. | __ + 9 = 10","1","","expanded from ch12-a-q1","9b0fa0f6"
"raw-source","ch12","4","ch12-a-q1-3","source-json","ch12-a-q1","fill-in-the-blanks","arithmetic","Complete the following. | 10 + 8 = __","18","","expanded from ch12-a-q1","6168e4ce"
"raw-source","ch12","4","ch12-a-q1-4","source-json","ch12-a-q1","fill-in-the-blanks","arithmetic","Complete the following. | 9 + 7 = __","16","","expanded from ch12-a-q1","059017ec"
"raw-source","ch13","1","ch13-s8-q1","source-json","ch13-s8-q1","split-tree-subtraction","arithmetic","Let's look at how to calculate 14 - 8. Tell us what numbers go in the [Box].","6","","","c1252ae0"
"raw-source","ch13","2","ch13-s8-q3","source-json","ch13-s8-q3","fill-in-the-blanks","arithmetic","Complete the following. | 10 + 5 = __","15","","","70cff6dd"
"raw-source","ch13","2","ch13-s8-q3-2","source-json","ch13-s8-q3","fill-in-the-blanks","arithmetic","Complete the following. | 18 - 9 = __","9","","expanded from ch13-s8-q3","1c60be9b"
"raw-source","ch13","2","ch13-s8-q3-3","source-json","ch13-s8-q3","fill-in-the-blanks","arithmetic","Complete the following. | 14 - 7 = __","7","","expanded from ch13-s8-q3","8504493e"
"raw-source","ch13","2","ch13-s8-q3-4","source-json","ch13-s8-q3","fill-in-the-blanks","arithmetic","Complete the following. | 12 - 4 = __","8","","expanded from ch13-s8-q3","627ab4d9"
"raw-source","ch13","3","ch13-a-q1","source-json","ch13-a-q1","result-finding","arithmetic","Find the result. | 15 - 8","7","","","d6f02233"
"raw-source","ch13","3","ch13-a-q1-2","source-json","ch13-a-q1","result-finding","arithmetic","Find the result.","prism","","expanded from ch13-a-q1","a6f5ce05"
"raw-source","ch14","1","ch14-s9-q1","source-json","ch14-s9-q1","ten-grouping","place-value/number","Count the groups of 10, then write the numerals.","","","","10975944"
"raw-source","ch14","1","ch14-s9-q1-2","source-json","ch14-s9-q1","ten-grouping","place-value/number","Count the groups of 10, then write the numerals.","","","expanded from ch14-s9-q1","055073bf"
"raw-source","ch14","1","ch14-s9-q1-3","source-json","ch14-s9-q1","ten-grouping","place-value/number","Count the groups of 10, then write the numerals.","","","expanded from ch14-s9-q1","3248ed8c"
"raw-source","ch14","2","ch14-s10-q1","source-json","ch14-s10-q1","place-value-counting","place-value/number","Count how many 10s and 1s. Write the number.","","","","4a8da38e"
"raw-source","ch14","2","ch14-s10-q1-2","source-json","ch14-s10-q1","place-value-counting","place-value/number","Count how many 10s and 1s. Write the number.","","","expanded from ch14-s10-q1","0a88f9dd"
"raw-source","ch14","2","ch14-s10-q1-3","source-json","ch14-s10-q1","place-value-counting","place-value/number","Count how many 10s and 1s. Write the number.","","","expanded from ch14-s10-q1","a3930a4e"
"raw-source","ch14","3","ch14-s10-q4","source-json","ch14-s10-q4","word-problem","arithmetic","Ahmed had 13 pencils. He gave away 9 of them. How many pencils does he have now?","4","","","5024235f"
"raw-source","ch14","4","ch14-s11-q1","source-json","ch14-s11-q1","matching-to-100","place-value/number","Match the pairs that make 100.","{""left"":30,""right"":70}","","","7d9d2aaf"
"raw-source","ch14","4","ch14-s11-q1-2","source-json","ch14-s11-q1","matching-to-100","place-value/number","Match the pairs that make 100.","{""left"":40,""right"":60}","","expanded from ch14-s11-q1","d1b6aefc"
"raw-source","ch14","4","ch14-s11-q1-3","source-json","ch14-s11-q1","matching-to-100","place-value/number","Match the pairs that make 100.","{""left"":50,""right"":50}","","expanded from ch14-s11-q1","a787757f"
"raw-source","ch14","4","ch14-s11-q1-4","source-json","ch14-s11-q1","matching-to-100","place-value/number","Match the pairs that make 100.","{""left"":80,""right"":20}","","expanded from ch14-s11-q1","5f6fc27a"
"raw-source","ch14","5","ch14-s12-q1","source-json","ch14-s12-q1","grid-fragment-fill","place-value/number","Fill in the missing numbers in the 100-chart fragments.","","","","608db958"
"raw-source","ch14","6","ch14-s15-q1","source-json","ch14-s15-q1","math-problems","arithmetic","Solve the addition and subtraction problems.","73","","","591ed078"
"raw-source","ch14","6","ch14-s15-q1-2","source-json","ch14-s15-q1","math-problems","arithmetic","Solve the addition and subtraction problems.","100","","expanded from ch14-s15-q1","38ac413e"
"raw-source","ch14","6","ch14-s15-q1-3","source-json","ch14-s15-q1","math-problems","arithmetic","Solve the addition and subtraction problems.","40","","expanded from ch14-s15-q1","4261e02e"
"raw-source","ch14","6","ch14-s15-q1-4","source-json","ch14-s15-q1","math-problems","arithmetic","Solve the addition and subtraction problems.","96","","expanded from ch14-s15-q1","b6f4923c"
"raw-source","ch14","7","ch14-s16-q1","source-json","ch14-s16-q1","capacity-ordering","capacity","Order the beakers from the least capacity to the greatest capacity.","A, C, B","","","7b47e079"
"raw-source","ch14","7","ch14-s16-q1-2","source-json","ch14-s16-q1","capacity-ordering","capacity","Order the beakers from the least capacity to the greatest capacity.","A, C, B","","expanded from ch14-s16-q1","9ed80988"
"raw-source","ch14","7","ch14-s16-q1-3","source-json","ch14-s16-q1","capacity-ordering","capacity","Order the beakers from the least capacity to the greatest capacity.","A, C, B","","expanded from ch14-s16-q1","2d1f5f91"
"raw-source","ch14","8","ch14-s16-q3","source-json","ch14-s16-q3","word-problem","arithmetic","Mariam had 80 candies. She gave 40 to her brother. How many does she have left?","40","","","16cf70c2"
"raw-source","ch15","1","s17_p1","source-json","s17_p1","shape_composition","shape","How many pieces of colored paper A do you need to make each shape below?","10","","","09eaf82d"
"raw-source","ch15","1","s17_p1-2","source-json","s17_p1","shape_composition","shape","How many pieces of colored paper A do you need to make each shape below?","8","","expanded from s17_p1","cb349d85"
"raw-source","ch15","1","s17_p1-3","source-json","s17_p1","shape_composition","shape","How many pieces of colored paper A do you need to make each shape below?","8","","expanded from s17_p1","15f97922"
"raw-source","ch15","2","s17_p2","source-json","s17_p2","mixed_arithmetic","arithmetic","Complete the following.","","","","2529f0fd"
"raw-source","ch15","3","s17_p3","source-json","s17_p3","comparison_circle","","Circle the bigger number.","{""options"":[62,69],""answer"":69}","","","87355161"
"raw-source","ch15","3","s17_p3-2","source-json","s17_p3","comparison_circle","","Circle the bigger number.","{""options"":[19,91],""answer"":91}","","expanded from s17_p3","1df69920"
"raw-source","ch15","3","s17_p3-3","source-json","s17_p3","comparison_circle","","Circle the bigger number.","{""options"":[120,112],""answer"":120}","","expanded from s17_p3","7c6afdb3"
"raw-source","ch15","3","s17_p3-4","source-json","s17_p3","comparison_circle","","Circle the bigger number.","{""options"":[54,47],""answer"":54}","","expanded from s17_p3","1cb122b9"
"raw-source","ch15","4","s17_p4","source-json","s17_p4","capacity_ordering","capacity","Arrange the containers in order from most to least amount.","A, D, B, C","","","b94cd3db"
"raw-source","ch15","4","s17_p4-2","source-json","s17_p4","capacity_ordering","capacity","Arrange the containers in order from most to least amount.","A, D, B, C","","expanded from s17_p4","064e337c"
"raw-source","ch15","4","s17_p4-3","source-json","s17_p4","capacity_ordering","capacity","Arrange the containers in order from most to least amount.","A, D, B, C","","expanded from s17_p4","5e161357"
"raw-source","ch15","4","s17_p4-4","source-json","s17_p4","capacity_ordering","capacity","Arrange the containers in order from most to least amount.","A, D, B, C","","expanded from s17_p4","4e8435ba"
"raw-source","ch15","5","s18_p1","source-json","s18_p1","stick_construction","","We made a shape using sticks (—) as follow. Answer the questions.","","","","523189f2"
"raw-source","ch15","6","s18_p2","source-json","s18_p2","multiple_choice","","Choose the correct answer.","","","","e8bb3637"
"raw-source","ch15","7","s18_p3","source-json","s18_p3","grid_fragment","place-value/number","Write the number in [blank square]","","","","d34313c7"
"raw-source","ch15","8","s18_p4","source-json","s18_p4","word_problem","arithmetic","There are 40 people on the bus, 20 people got off. How many people are on the bus now?","20","","","085a7e0d"
"raw-source","ch15","9","s19_p1","source-json","s19_p1","dot_grid_copy","place-value/number","Draw the same shape.","","","","00fe9bb1"
"raw-source","ch15","10","s19_p2","source-json","s19_p2","matching","","Match to make 100.","[70,30]","","","d866a4b5"
